id,trade_date,user_id,server,broker_group,nfo_realized,nfo_settlement,bfo_realized,bfo_settlement,total_realized,total_settlement,net_pnl,max_loss,allocation,updated_max_loss,dte,summary_index,summary_dte,algo,input_fingerprint,updated_at
4128,2026-08-21,PSANGHIC,VS11,AVG,-11.05,3066.7,0.0,0.0,-11.05,3066.7,3055.65,495000.0,275000.0,498055.65,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4129,2026-08-21,SHRUTI43,VS11,AVG,-14.3,1522.3,0.0,0.0,-14.3,1522.3,1508.0,225000.0,125000.0,226508.0,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4130,2026-08-21,VEDANGI2,VS11,AVG,-14.3,1509.3,0.0,0.0,-14.3,1509.3,1495.0,270000.0,150000.0,271495.0,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4131,2026-08-21,VIDHID00,VS11,AVG,-9.75,1527.5,0.0,0.0,-9.75,1527.5,1517.75,225000.0,125000.0,226517.75,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4132,2026-08-21,VTPRATIM,VS11,AVG,-12.35,2999.1,0.0,0.0,-12.35,2999.1,2986.75,0.0,300000.0,2986.75,4,NF,4,A7,a8a542a33cf89c1d2e8bf16998b58c8a88352cb94706858d40ccb171e7bf626f,2026-08-21T15:10:46
4255,2026-08-21,MMANUJG7,VS13,AVG,0.0,1514.5,0.0,0.0,0.0,1514.5,1514.5,200000.0,100000.0,201514.5,4,NF,4,A1,a18e5d5299838ce3792094db7bef9b686f926a68f2d35ab62979bd287277fd0d,2026-08-21T15:15:30
4256,2026-08-21,SHILPI25,VS13,AVG,0.0,1519.7,0.0,0.0,0.0,1519.7,1519.7,250000.0,125000.0,251519.7,4,NF,4,A1,a18e5d5299838ce3792094db7bef9b686f926a68f2d35ab62979bd287277fd0d,2026-08-21T15:15:30
4183,2026-08-21,7RA110015,VS14,FIFO,0.0,1771.25,0.0,0.0,0.0,1771.25,1771.25,300000.0,150000.0,300000.0,4,NF,4,A1,050db77d60efed7fba0af6949d1ce6e8593fa4a4c488b45525838f7e30011f10,2026-08-21T15:12:35
4184,2026-08-21,7RA110031,VS14,FIFO,0.0,1774.5,0.0,0.0,0.0,1774.5,1774.5,250000.0,125000.0,250000.0,4,NF,4,A1,050db77d60efed7fba0af6949d1ce6e8593fa4a4c488b45525838f7e30011f10,2026-08-21T15:12:35
4185,2026-08-21,7RA110045,VS14,FIFO,0.0,1761.5,0.0,0.0,0.0,1761.5,1761.5,200000.0,100000.0,200000.0,4,NF,4,A1,050db77d60efed7fba0af6949d1ce6e8593fa4a4c488b45525838f7e30011f10,2026-08-21T15:12:35
4186,2026-08-21,7RA110095,VS14,FIFO,0.0,1758.25,0.0,0.0,0.0,1758.25,1758.25,200000.0,100000.0,200000.0,4,NF,4,A1,050db77d60efed7fba0af6949d1ce6e8593fa4a4c488b45525838f7e30011f10,2026-08-21T15:12:35
4187,2026-08-21,7RA1LL11,VS14,FIFO,0.0,1771.25,0.0,0.0,0.0,1771.25,1771.25,250000.0,125000.0,250000.0,4,NF,4,A1,050db77d60efed7fba0af6949d1ce6e8593fa4a4c488b45525838f7e30011f10,2026-08-21T15:12:35
4188,2026-08-21,AMIT3732,VS14,AVG,0.0,1664.65,0.0,0.0,0.0,1664.65,1664.65,250000.0,125000.0,251664.65,4,NF,4,A1,050db77d60efed7fba0af6949d1ce6e8593fa4a4c488b45525838f7e30011f10,2026-08-21T15:12:35
4189,2026-08-21,B7RA1RS76,VS14,FIFO,0.0,1761.5,0.0,0.0,0.0,1761.5,1761.5,300000.0,150000.0,300000.0,4,NF,4,A1,050db77d60efed7fba0af6949d1ce6e8593fa4a4c488b45525838f7e30011f10,2026-08-21T15:12:35
